MED,SMALL,BIG,BIG,Iris-virginica
BIG,MED,MED,MED,Iris-versicolor
MED,SMALL,MED,MED,Iris-versicolor
SMALL,MED,MED,MED,Iris-versicolor
SMALL,BIG,SMALL,SMALL,Iris-setosa
MED,MED,BIG,BIG,Iris-virginica
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,MED,BIG,BIG,Iris-virginica
MED,MED,BIG,BIG,Iris-virginica
SMALL,SMALL,MED,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,SMALL,MED,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,SMALL,MED,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
BIG,MED,BIG,BIG,Iris-virginica
MED,MED,BIG,BIG,Iris-virginica
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,MED,MED,MED,Iris-versicolor
MED,SMALL,MED,MED,Iris-versicolor
SMALL,SMALL,MED,MED,Iris-versicolor
SMALL,BIG,SMALL,SMALL,Iris-setosa
MED,SMALL,BIG,BIG,Iris-virginica
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,MED,MED,MED,Iris-versicolor
BIG,MED,BIG,BIG,Iris-virginica
MED,MED,BIG,BIG,Iris-virginica
MED,MED,BIG,BIG,Iris-virginica
SMALL,MED,SMALL,SMALL,Iris-setosa
BIG,MED,BIG,BIG,Iris-virginica
MED,BIG,SMALL,SMALL,Iris-setosa
BIG,MED,BIG,BIG,Iris-virginica
MED,SMALL,BIG,MED,Iris-virginica
MED,MED,BIG,BIG,Iris-virginica
BIG,MED,BIG,BIG,Iris-virginica
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,BIG,SMALL,SMALL,Iris-setosa
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,MED,MED,MED,Iris-versicolor
SMALL,SMALL,MED,MED,Iris-virginica
MED,MED,BIG,BIG,Iris-virginica
BIG,MED,BIG,BIG,Iris-virginica
MED,SMALL,BIG,BIG,Iris-virginica
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,SMALL,MED,MED,Iris-versicolor
SMALL,BIG,SMALL,SMALL,Iris-setosa
SMALL,MED,SMALL,SMALL,Iris-setosa
BIG,BIG,BIG,BIG,Iris-virginica
BIG,MED,BIG,BIG,Iris-virginica
MED,MED,MED,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,BIG,SMALL,SMALL,Iris-setosa
SMALL,MED,SMALL,SMALL,Iris-setosa
BIG,MED,BIG,BIG,Iris-virginica
MED,SMALL,MED,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,MED,MED,MED,Iris-versicolor
MED,SMALL,MED,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,SMALL,BIG,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,SMALL,MED,MED,Iris-versicolor
MED,SMALL,MED,MED,Iris-versicolor
MED,MED,MED,MED,Iris-versicolor
MED,MED,MED,MED,Iris-versicolor
BIG,MED,BIG,MED,Iris-virginica
MED,BIG,SMALL,SMALL,Iris-setosa
MED,MED,MED,BIG,Iris-virginica
BIG,BIG,BIG,BIG,Iris-virginica
SMALL,MED,SMALL,SMALL,Iris-setosa
BIG,SMALL,BIG,BIG,Iris-virginica
MED,SMALL,BIG,BIG,Iris-virginica
SMALL,SMALL,MED,MED,Iris-versicolor
MED,SMALL,MED,BIG,Iris-virginica
BIG,SMALL,BIG,BIG,Iris-virginica
MED,SMALL,MED,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,BIG,SMALL,SMALL,Iris-setosa
SMALL,BIG,SMALL,SMALL,Iris-setosa
MED,MED,MED,MED,Iris-versicolor
MED,MED,MED,MED,Iris-versicolor
MED,SMALL,MED,MED,Iris-versicolor
SMALL,BIG,SMALL,SMALL,Iris-setosa
MED,SMALL,BIG,BIG,Iris-virginica
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,MED,MED,MED,Iris-versicolor
MED,MED,BIG,BIG,Iris-virginica
SMALL,SMALL,MED,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,MED,SMALL,SMALL,Iris-setosa
BIG,SMALL,BIG,BIG,Iris-virginica
MED,SMALL,BIG,BIG,Iris-virginica
MED,MED,BIG,BIG,Iris-virginica
SMALL,MED,SMALL,SMALL,Iris-setosa
BIG,SMALL,MED,MED,Iris-versicolor
SMALL,BIG,SMALL,SMALL,Iris-setosa
MED,MED,BIG,BIG,Iris-virginica
MED,MED,MED,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,SMALL,MED,MED,Iris-versicolor
MED,MED,MED,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,SMALL,MED,MED,Iris-versicolor
BIG,MED,BIG,BIG,Iris-virginica
MED,SMALL,MED,MED,Iris-versicolor
MED,SMALL,MED,BIG,Iris-virginica
MED,MED,MED,MED,Iris-versicolor
MED,MED,MED,BIG,Iris-virginica
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,BIG,SMALL,SMALL,Iris-setosa
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,MED,BIG,BIG,Iris-virginica
MED,MED,BIG,BIG,Iris-virginica
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,MED,BIG,BIG,Iris-virginica
MED,SMALL,BIG,BIG,Iris-virginica
MED,BIG,SMALL,SMALL,Iris-setosa
MED,MED,MED,BIG,Iris-versicolor
MED,SMALL,BIG,MED,Iris-virginica
SMALL,SMALL,MED,MED,Iris-versicolor
MED,SMALL,MED,MED,Iris-versicolor
MED,SMALL,MED,BIG,Iris-virginica
MED,MED,MED,MED,Iris-versicolor
MED,MED,MED,MED,Iris-versicolor
MED,SMALL,MED,MED,Iris-versicolor
MED,MED,BIG,MED,Iris-versicolor
MED,SMALL,BIG,BIG,Iris-virginica
SMALL,MED,SMALL,SMALL,Iris-setosa
SMALL,SMALL,MED,MED,Iris-versicolor
MED,MED,MED,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,SMALL,BIG,MED,Iris-virginica
MED,SMALL,BIG,BIG,Iris-virginica
MED,SMALL,MED,MED,Iris-versicolor
MED,MED,MED,MED,Iris-versicolor
SMALL,MED,SMALL,SMALL,Iris-setosa
MED,MED,BIG,BIG,Iris-virginica
MED,MED,MED,MED,Iris-versicolor
SMALL,SMALL,MED,MED,Iris-versicolor
BIG,MED,BIG,BIG,Iris-virginica
BIG,MED,MED,MED,Iris-versicolor
SMALL,SMALL,SMALL,SMALL,Iris-setosa
MED,SMALL,MED,MED,Iris-versicolor
BIG,MED,BIG,BIG,Iris-virginica